Row,Column,value
R_A,C_A,842
R_A,C_B,844
R_A,C_C,808
R_A,C_D,822
R_A,C_E,979
R_A,C_F,954
R_A,C_G,965
R_A,C_H,906
R_A,C_I,898
R_A,C_J,856
R_A,C_K,808
R_A,C_L,920
R_A,C_M,808
R_A,C_N,889
R_A,C_O,943
R_A,C_P,894
R_A,C_Q,968
R_A,C_R,917
R_B,C_A,803
R_B,C_B,841
R_B,C_C,870
R_B,C_D,970
R_B,C_E,943
R_B,C_F,914
R_B,C_G,916
R_B,C_H,836
R_B,C_I,858
R_B,C_J,926
R_B,C_K,922
R_B,C_L,910
R_B,C_M,872
R_B,C_N,805
R_B,C_O,775
R_B,C_P,846
R_B,C_Q,947
R_B,C_R,965
R_C,C_A,773
R_C,C_B,782
R_C,C_C,860
R_C,C_D,822
R_C,C_E,932
R_C,C_F,971
R_C,C_G,765
R_C,C_H,875
R_C,C_I,853
R_C,C_J,936
R_C,C_K,927
R_C,C_L,779
R_C,C_M,865
R_C,C_N,720
R_C,C_O,566
R_C,C_P,893
R_C,C_Q,914
R_C,C_R,861
R_D,C_A,912
R_D,C_B,887
R_D,C_C,815
R_D,C_D,937
R_D,C_E,844
R_D,C_F,661
R_D,C_G,841
R_D,C_H,844
R_D,C_I,809
R_D,C_J,778
R_D,C_K,945
R_D,C_L,876
R_D,C_M,901
R_D,C_N,802
R_D,C_O,836
R_D,C_P,778
R_D,C_Q,923
R_D,C_R,949
R_E,C_A,874
R_E,C_B,792
R_E,C_C,803
R_E,C_D,793
R_E,C_E,818
R_E,C_F,799
R_E,C_G,767
R_E,C_H,855
R_E,C_I,792
R_E,C_J,858
R_E,C_K,912
R_E,C_L,839
R_E,C_M,813
R_E,C_N,740
R_E,C_O,730
R_E,C_P,832
R_E,C_Q,813
R_E,C_R,914
R_F,C_A,908
R_F,C_B,875
R_F,C_C,899
R_F,C_D,788
R_F,C_E,867
R_F,C_F,790
R_F,C_G,831
R_F,C_H,757
R_F,C_I,751
R_F,C_J,774
R_F,C_K,863
R_F,C_L,902
R_F,C_M,771
R_F,C_N,747
R_F,C_O,819
R_F,C_P,699
R_F,C_Q,670
R_F,C_R,934
R_G,C_A,875
R_G,C_B,907
R_G,C_C,921
R_G,C_D,963
R_G,C_E,875
R_G,C_F,880
R_G,C_G,898
R_G,C_H,802
R_G,C_I,874
R_G,C_J,928
R_G,C_K,872
R_G,C_L,834
R_G,C_M,892
R_G,C_N,760
R_G,C_O,753
R_G,C_P,720
R_G,C_Q,751
R_G,C_R,894
R_H,C_A,891
R_H,C_B,928
R_H,C_C,871
R_H,C_D,875
R_H,C_E,865
R_H,C_F,777
R_H,C_G,738
R_H,C_H,796
R_H,C_I,855
R_H,C_J,901
R_H,C_K,792
R_H,C_L,752
R_H,C_M,722
R_H,C_N,781
